,date,open,high,low,close,volume,average,barCount
24570,2024-02-16 14:30:00,17853.59,17864.16,17851.83,17857.72,0.0,0.0,44
24571,2024-02-16 14:31:00,17856.49,17857.82,17840.23,17849.65,0.0,0.0,60
24572,2024-02-16 14:32:00,17847.84,17847.84,17826.06,17828.38,0.0,0.0,60
24573,2024-02-16 14:33:00,17827.21,17838.43,17826.25,17838.43,0.0,0.0,60
24574,2024-02-16 14:34:00,17838.44,17850.38,17838.44,17849.53,0.0,0.0,60
24575,2024-02-16 14:35:00,17847.01,17854.83,17843.7,17843.7,0.0,0.0,59
24576,2024-02-16 14:36:00,17843.98,17858.93,17843.93,17856.59,0.0,0.0,60
24577,2024-02-16 14:37:00,17856.6,17861.01,17853.15,17853.84,0.0,0.0,59
24578,2024-02-16 14:38:00,17853.67,17854.87,17845.97,17845.97,0.0,0.0,60
24579,2024-02-16 14:39:00,17845.69,17847.32,17833.29,17833.29,0.0,0.0,59
24580,2024-02-16 14:40:00,17836.09,17837.4,17825.31,17828.03,0.0,0.0,58
24581,2024-02-16 14:41:00,17827.93,17842.02,17825.11,17840.09,0.0,0.0,59
24582,2024-02-16 14:42:00,17838.97,17840.31,17830.38,17833.13,0.0,0.0,59
24583,2024-02-16 14:43:00,17833.95,17836.86,17826.56,17828.15,0.0,0.0,60
24584,2024-02-16 14:44:00,17825.96,17828.13,17813.73,17816.74,0.0,0.0,60
24585,2024-02-16 14:45:00,17816.28,17823.73,17815.91,17822.71,0.0,0.0,60
24586,2024-02-16 14:46:00,17822.91,17827.43,17813.78,17813.84,0.0,0.0,59
24587,2024-02-16 14:47:00,17814.15,17820.45,17810.27,17820.45,0.0,0.0,60
24588,2024-02-16 14:48:00,17817.76,17819.09,17807.73,17808.61,0.0,0.0,60
24589,2024-02-16 14:49:00,17807.75,17807.75,17796.7,17796.9,0.0,0.0,60
24590,2024-02-16 14:50:00,17796.69,17799.08,17777.56,17778.56,0.0,0.0,60
24591,2024-02-16 14:51:00,17779.05,17782.11,17768.7,17768.84,0.0,0.0,59
24592,2024-02-16 14:52:00,17768.9,17768.9,17750.67,17753.78,0.0,0.0,60
24593,2024-02-16 14:53:00,17754.21,17755.75,17747.49,17748.59,0.0,0.0,60
24594,2024-02-16 14:54:00,17748.32,17748.32,17719.02,17719.02,0.0,0.0,60
24595,2024-02-16 14:55:00,17720.61,17720.61,17700.58,17702.04,0.0,0.0,60
24596,2024-02-16 14:56:00,17703.13,17720.26,17703.13,17716.46,0.0,0.0,59
24597,2024-02-16 14:57:00,17716.78,17718.8,17709.88,17710.94,0.0,0.0,60
24598,2024-02-16 14:58:00,17710.84,17712.15,17698.42,17701.43,0.0,0.0,59
24599,2024-02-16 14:59:00,17704.21,17715.34,17704.21,17713.15,0.0,0.0,60
24600,2024-02-16 15:00:00,17712.16,17712.16,17667.77,17691.97,0.0,0.0,60
24601,2024-02-16 15:01:00,17692.2,17692.2,17663.4,17667.52,0.0,0.0,59
